# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-11-13 11:53:53 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01184000 CONNECTICUT RIVER AT THOMPSONVILLE, CT
# -----------------------------------------------------------------------------------
#
# Data provided for site 01184000
#            TS   parameter     statistic     Description
#         64671       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	64671_00060_00003	64671_00060_00003_cd
5s	15s	20d	14n	10s
USGS	01184000	2009-11-12	11400	A
USGS	01184000	2009-11-13	13600	A
USGS	01184000	2009-11-14	13600	A
USGS	01184000	2009-11-15	19400	A
USGS	01184000	2009-11-16	27300	A
USGS	01184000	2009-11-17	28200	A
USGS	01184000	2009-11-18	24300	A
USGS	01184000	2009-11-19	23100	A
USGS	01184000	2009-11-20	20300	A
USGS	01184000	2009-11-21	26900	A
USGS	01184000	2009-11-22	30400	A
USGS	01184000	2009-11-23	26700	A
USGS	01184000	2009-11-24	26300	A
USGS	01184000	2009-11-25	20500	A
USGS	01184000	2009-11-26	18300	A
USGS	01184000	2009-11-27	19200	A
USGS	01184000	2009-11-28	19700	A
USGS	01184000	2009-11-29	23100	A
USGS	01184000	2009-11-30	29300	A
USGS	01184000	2009-12-01	28400	A
USGS	01184000	2009-12-02	24500	A
USGS	01184000	2009-12-03	29400	A
USGS	01184000	2009-12-04	44100	A
USGS	01184000	2009-12-05	50600	A
USGS	01184000	2009-12-06	43800	A
USGS	01184000	2009-12-07	36600	A
USGS	01184000	2009-12-08	30700	A
USGS	01184000	2009-12-09	26500	A
USGS	01184000	2009-12-10	25800	A
USGS	01184000	2009-12-11	23100	A
USGS	01184000	2009-12-12	23700	A
USGS	01184000	2009-12-13	20800	A
USGS	01184000	2009-12-14	19900	A
USGS	01184000	2009-12-15	19300	A
USGS	01184000	2009-12-16	19600	A
USGS	01184000	2009-12-17	20800	A
USGS	01184000	2009-12-18	19400	A
USGS	01184000	2009-12-19	15300	A
USGS	01184000	2009-12-20	17100	A
USGS	01184000	2009-12-21	16800	A
USGS	01184000	2009-12-22	16700	A
USGS	01184000	2009-12-23	13100	A
USGS	01184000	2009-12-24	12800	A
USGS	01184000	2009-12-25	14000	A
USGS	01184000	2009-12-26	12000	A
USGS	01184000	2009-12-27	18600	A
USGS	01184000	2009-12-28	28500	A
USGS	01184000	2009-12-29	32000	A
USGS	01184000	2009-12-30	28700	A
USGS	01184000	2009-12-31	20100	A
USGS	01184000	2010-01-01	17600	A
USGS	01184000	2010-01-02	17100	A
USGS	01184000	2010-01-03	17500	A
USGS	01184000	2010-01-04	18100	A
USGS	01184000	2010-01-05	17700	A
USGS	01184000	2010-01-06	15600	A
USGS	01184000	2010-01-07	14100	A
USGS	01184000	2010-01-08	13500	A
USGS	01184000	2010-01-09	13000	A
USGS	01184000	2010-01-10	12300	A
USGS	01184000	2010-01-11	12500	A
USGS	01184000	2010-01-12	13400	A
USGS	01184000	2010-01-13	10700	A
USGS	01184000	2010-01-14	11700	A
USGS	01184000	2010-01-15	11800	A
USGS	01184000	2010-01-16	11200	A
USGS	01184000	2010-01-17	10100	A
USGS	01184000	2010-01-18	12400	A
USGS	01184000	2010-01-19	13300	A
USGS	01184000	2010-01-20	13200	A
USGS	01184000	2010-01-21	12400	A
USGS	01184000	2010-01-22	12100	A
USGS	01184000	2010-01-23	11800	A
USGS	01184000	2010-01-24	13100	A
USGS	01184000	2010-01-25	16500	A
USGS	01184000	2010-01-26	40600	A
USGS	01184000	2010-01-27	51700	A
USGS	01184000	2010-01-28	49600	A
USGS	01184000	2010-01-29	35000	A
USGS	01184000	2010-01-30	25200	A
USGS	01184000	2010-01-31	22000	A
USGS	01184000	2010-02-01	20500	A
USGS	01184000	2010-02-02	18700	A
USGS	01184000	2010-02-03	18300	A
USGS	01184000	2010-02-04	17700	A
USGS	01184000	2010-02-05	17100	A
USGS	01184000	2010-02-06	14700	A
USGS	01184000	2010-02-07	14900	A
USGS	01184000	2010-02-08	13000	A
USGS	01184000	2010-02-09	12200	A
USGS	01184000	2010-02-10	12700	A
USGS	01184000	2010-02-11	13100	A
USGS	01184000	2010-02-12	13200	A
USGS	01184000	2010-02-13	10800	A
USGS	01184000	2010-02-14	11600	A
USGS	01184000	2010-02-15	9710	A
USGS	01184000	2010-02-16	9840	A
USGS	01184000	2010-02-17	11600	A
USGS	01184000	2010-02-18	10700	A
USGS	01184000	2010-02-19	8720	A
USGS	01184000	2010-02-20	10300	A
USGS	01184000	2010-02-21	11200	A
USGS	01184000	2010-02-22	10700	A
USGS	01184000	2010-02-23	10200	A
USGS	01184000	2010-02-24	13300	A
USGS	01184000	2010-02-25	16300	A
USGS	01184000	2010-02-26	29400	A
USGS	01184000	2010-02-27	37500	A
USGS	01184000	2010-02-28	36100	A
USGS	01184000	2010-03-01	30400	A
USGS	01184000	2010-03-02	25500	A
USGS	01184000	2010-03-03	23200	A
USGS	01184000	2010-03-04	23600	A
USGS	01184000	2010-03-05	25800	A
USGS	01184000	2010-03-06	21900	A
USGS	01184000	2010-03-07	18100	A
USGS	01184000	2010-03-08	18400	A
USGS	01184000	2010-03-09	21700	A
USGS	01184000	2010-03-10	23400	A
USGS	01184000	2010-03-11	23800	A
USGS	01184000	2010-03-12	23300	A
USGS	01184000	2010-03-13	23400	A
USGS	01184000	2010-03-14	30100	A
USGS	01184000	2010-03-15	37900	A
USGS	01184000	2010-03-16	51000	A
USGS	01184000	2010-03-17	51900	A
USGS	01184000	2010-03-18	49800	A
USGS	01184000	2010-03-19	50100	A
USGS	01184000	2010-03-20	54300	A
USGS	01184000	2010-03-21	57100	A
USGS	01184000	2010-03-22	58400	A
USGS	01184000	2010-03-23	63600	A
USGS	01184000	2010-03-24	85500	A
USGS	01184000	2010-03-25	84300	A
USGS	01184000	2010-03-26	73200	A
USGS	01184000	2010-03-27	66000	A
USGS	01184000	2010-03-28	55800	A
USGS	01184000	2010-03-29	50200	A
USGS	01184000	2010-03-30	65500	A
USGS	01184000	2010-03-31	88300	A
USGS	01184000	2010-04-01	91200	A
USGS	01184000	2010-04-02	80700	A
USGS	01184000	2010-04-03	76300	A
USGS	01184000	2010-04-04	69400	A
