PRISM Time Series Data
Location:  Lat: 41.4109   Lon: -72.9324   Elev: 279ft
"Climate variables: ppt,tmean"
Spatial resolution: 4km
Period: 1965 - 2015
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2020-Sep-14
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F)
1965,32.70,48.8
1966,37.27,49.1
1967,43.55,48.6
1968,47.52,49.2
1969,49.48,49.4
1970,37.69,49.4
1971,48.32,49.9
1972,64.08,48.9
1973,56.52,51.5
1974,48.82,49.8
1975,58.70,50.6
1976,52.08,49.3
1977,54.78,50.1
1978,51.16,48.6
1979,59.85,50.8
1980,43.66,49.9
1981,42.31,50.3
1982,51.12,49.8
1983,67.68,51.0
1984,54.27,50.5
1985,40.94,50.2
1986,47.33,50.2
1987,48.46,51.1
1988,41.04,50.2
1989,59.48,49.6
1990,60.99,52.5
1991,49.31,52.1
1992,52.48,49.5
1993,43.87,49.9
1994,51.74,50.1
1995,42.23,50.2
1996,63.30,49.5
1997,42.49,49.5
1998,53.01,52.5
1999,52.26,52.0
2000,51.29,49.7
2001,42.38,51.1
2002,53.20,51.5
2003,63.22,49.0
2004,51.56,49.7
2005,56.04,50.6
2006,64.20,52.2
2007,49.23,50.7
2008,58.88,50.9
2009,48.07,49.8
2010,56.59,52.3
2011,71.88,51.7
2012,44.91,53.2
2013,47.42,50.8
2014,53.14,49.6
2015,42.19,51.0
